YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1925,2.1,3.9,3.5,9,13.3,17.9,18.3,17.7,13,10.4,3.6,2,2.4,8.6,18,9,9.49
1926,0.8,5.4,5.7,10,11.6,14.6,18.3,18.4,16.9,10.8,6.9,-0.1,2.7,9.1,17.1,11.5,10.12
1927,1.5,1.5,6.1,10,14.7,17,18.8,17.2,14.5,9.1,5,1.6,1,10.3,17.7,9.5,9.61
1928,2.3,3.3,6.4,8.7,11.6,17.5,22.8,20.7,15,9.3,6.4,1.4,2.4,8.9,20.3,10.2,10.47
1929,-3,-4,4.6,7.5,13.9,18.1,20,18.3,17.3,10.5,5,4.5,-1.9,8.7,18.8,10.9,9.13
1930,2.5,1.9,6.3,9.7,12.1,19.4,18,18.4,15.9,9.7,7.4,2.6,3,9.4,18.6,11,10.48
1931,1.9,0.9,3.7,8.5,15.3,19.6,18.2,16.5,11.1,8.7,6.5,0.5,1.8,9.2,18.1,8.8,9.46
1932,1.1,-1.5,3.8,7.6,12.1,16.4,17.8,20.6,17.8,10.4,5.6,1.6,0,7.8,18.3,11.3,9.35
1933,-1.7,2.1,5.6,10.3,12.6,14.8,20.2,20,15.7,10.2,4,-2.3,0.7,9.5,18.3,10,9.62
1934,0.7,0.8,5.2,10.8,15.4,17.9,20.5,17.4,16.2,9.8,3.7,4.9,-0.3,10.5,18.6,9.9,9.68
1935,-0.7,3.5,4.6,8.7,12.2,18.9,20.7,17.8,15.8,10,6,1.1,2.6,8.5,19.1,10.6,10.2
1936,4.9,2.4,6.6,8.3,14.2,16.8,17.7,18,15.2,6.9,5.5,2.2,2.8,9.7,17.5,9.2,9.8
1937,2.5,5.1,4,9.3,14.9,18.1,20.2,19.1,14.5,10,4.7,0.8,3.3,9.4,19.1,9.7,10.38
1938,2.2,1,7.4,7.3,12.1,18.1,18.3,18.1,15.3,10.2,6.8,-0.2,1.3,8.9,18.2,10.8,9.8
1939,3,2.1,2.9,10.1,10.5,16.9,18,18.1,14.3,9.3,7,0.8,1.6,7.8,17.7,10.2,9.33
